#sep_mas transmission
0.0000 0.0042
1.3428 0.0042
2.6855 0.0042
4.0283 0.0042
5.3711 0.0042
6.7138 0.0042
8.0566 0.0042
9.3994 0.0042
10.7422 0.0042
12.0849 0.0043
13.4277 0.0047
14.7705 0.0051
16.1132 0.0055
17.4560 0.0060
18.7988 0.0065
20.1415 0.0070
21.4843 0.0075
22.8271 0.0079
24.1698 0.0084
25.5126 0.0089
26.8554 0.0094
28.1982 0.0099
29.5409 0.0105
30.8837 0.0111
32.2265 0.0117
33.5692 0.0123
34.9120 0.0129
36.2548 0.0135
37.5975 0.0141
38.9403 0.0147
40.2831 0.0153
41.6258 0.0159
42.9686 0.0165
44.3114 0.0171
45.6542 0.0180
46.9969 0.0190
48.3397 0.0199
49.6825 0.0208
51.0252 0.0217
52.3680 0.0226
53.7108 0.0231
55.0535 0.0237
56.3963 0.0242
57.7391 0.0248
59.0818 0.0253
60.4246 0.0259
61.7674 0.0264
63.1102 0.0269
64.4529 0.0274
65.7957 0.0279
67.1385 0.0289
68.4812 0.0310
69.8240 0.0331
71.1668 0.0351
72.5095 0.0372
73.8523 0.0392
75.1951 0.0413
76.5378 0.0434
77.8806 0.0454
79.2234 0.0475
80.5662 0.0495
81.9089 0.0516
83.2517 0.0546
84.5945 0.0578
85.9372 0.0611
87.2800 0.0652
88.6228 0.0694
89.9655 0.0739
91.3083 0.0797
92.6511 0.0858
93.9938 0.0922
95.3366 0.0985
96.6794 0.1049
98.0222 0.1114
99.3649 0.1195
100.7077 0.1308
102.0505 0.1421
103.3932 0.1532
104.7360 0.1642
106.0788 0.1752
107.4215 0.1876
108.7643 0.2011
110.1071 0.2150
111.4498 0.2291
112.7926 0.2432
114.1354 0.2573
115.4782 0.2714
116.8209 0.2859
118.1637 0.3004
119.5065 0.3150
120.8492 0.3295
122.1920 0.3440
123.5348 0.3614
124.8775 0.3813
126.2203 0.4012
127.5631 0.4211
128.9058 0.4414
130.2486 0.4620
131.5914 0.4825
132.9342 0.5031
134.2769 0.5238
135.6197 0.5444
136.9625 0.5649
138.3052 0.5849
139.6480 0.6031
140.9908 0.6195
142.3335 0.6360
143.6763 0.6524
145.0191 0.6690
146.3618 0.6858
147.7046 0.7026
149.0474 0.7192
150.3902 0.7354
151.7329 0.7517
153.0757 0.7680
154.4185 0.7842
155.7612 0.8005
157.1040 0.8094
158.4468 0.8160
159.7895 0.8227
161.1323 0.8294
162.4751 0.8361
163.8178 0.8427
165.1606 0.8494
166.5034 0.8559
167.8462 0.8625
169.1889 0.8690
170.5317 0.8756
171.8745 0.8821
173.2172 0.8878
174.5600 0.8903
175.9028 0.8927
177.2455 0.8952
178.5883 0.8976
179.9311 0.9001
181.2738 0.9025
182.6166 0.9050
183.9594 0.9074
185.3022 0.9099
186.6449 0.9124
187.9877 0.9149
189.3305 0.9174
190.6732 0.9199
192.0160 0.9224
193.3588 0.9249
194.7015 0.9272
196.0443 0.9295
197.3871 0.9318
198.7298 0.9341
200.0726 0.9364
201.4154 0.9387
202.7582 0.9410
204.1009 0.9433
205.4437 0.9456
206.7865 0.9475
208.1292 0.9491
209.4720 0.9507
210.8148 0.9524
212.1575 0.9540
213.5003 0.9556
214.8431 0.9572
216.1858 0.9587
217.5286 0.9602
218.8714 0.9616
220.2142 0.9630
221.5569 0.9645
222.8997 0.9659
224.2425 0.9674
225.5852 0.9688
226.9280 0.9702
228.2708 0.9717
229.6135 0.9733
230.9563 0.9748
232.2991 0.9764
233.6418 0.9779
234.9846 0.9794
236.3274 0.9810
237.6702 0.9825
239.0129 0.9834
240.3557 0.9839
241.6985 0.9844
243.0412 0.9850
244.3840 0.9855
245.7268 0.9860
247.0695 0.9866
248.4123 0.9873
249.7551 0.9879
251.0978 0.9885
252.4406 0.9891
253.7834 0.9898
255.1262 0.9904
256.4689 0.9910
257.8117 0.9916
259.1545 0.9922
260.4972 0.9928
261.8400 0.9934
263.1828 0.9940
264.5255 0.9945
265.8683 0.9949
267.2111 0.9953
268.5538 0.9957
