FILE    ,NAME                                  ,OBS.TARG.NAME     ,DPR.CATG    ,DPR.TYPE         ,OCS.DPI.H2RT.STOKES    ,DET.SEQ1.DIT    ,DET.NDIT    ,INS4.FILT2.NAME    ,INS1.FILT.ID    ,INS.COMB.ICOR    ,INS4.DROT2.MODE    ,INS4.DROT3.MODE    ,TEL.PARANG.START    ,TEL.ALT    ,INS4.DROT2.BEGIN    ,INS4.DROT2.POSANG    ,INS4.DROT3.BEGIN    ,INS4.DROT3.POSANG    ,INS4.DROT3.GAMMA    ,TEL.AMBI.FWHM.START    ,TEL.AMBI.TAU0    ,INS1.OPTI2.NAME    ,INS4.OPTI8.NAME    ,DATE-OBS                    
1       ,SPHER.2025-09-24T00:52:33.051.fits    ,TYC 5709-354-1    ,SCIENCE     ,SKY              ,                       ,64.0000         ,1           ,OPEN               ,FILT_BBF_H      ,N_ALC_YJH_S      ,ELEV               ,USER               ,142.1610            ,67.9750    ,213.9842            ,0.0000               ,0.0000              ,0.0000               ,                    ,0.5700                 ,0.0059           ,P0-90              ,H_NIR              ,2025-09-24T00:52:33.0515    
2       ,SPHER.2025-09-24T00:53:47.035.fits    ,TYC 5709-354-1    ,SCIENCE     ,SKY              ,                       ,64.0000         ,1           ,OPEN               ,FILT_BBF_H      ,N_ALC_YJH_S      ,ELEV               ,USER               ,141.5960            ,67.7970    ,213.8866            ,0.0000               ,0.0000              ,0.0000               ,                    ,0.5900                 ,0.0059           ,P0-90              ,H_NIR              ,2025-09-24T00:53:47.0349    
3       ,SPHER.2025-09-24T00:57:04.167.fits    ,TYC 5709-354-1    ,SCIENCE     ,"OBJECT,FLUX      ",                       ,0.8375          ,20          ,ND_1.0             ,FILT_BBF_H      ,N_ALC_YJH_S      ,ELEV               ,USER               ,140.1660            ,67.2660    ,213.6347            ,0.0000               ,0.0000              ,0.0000               ,                    ,0.4700                 ,0.0066           ,P0-90              ,H_NIR              ,2025-09-24T00:57:04.1672    
4       ,SPHER.2025-09-24T01:02:40.239.fits    ,TYC 5709-354-1    ,SCIENCE     ,"OBJECT,CENTER    ",                       ,64.0000         ,1           ,OPEN               ,FILT_BBF_H      ,N_ALC_YJH_S      ,ELEV               ,USER               ,137.9010            ,66.3510    ,213.1729            ,0.0000               ,0.0000              ,0.0000               ,                    ,0.6200                 ,0.0067           ,P0-90              ,H_NIR              ,2025-09-24T01:02:40.2398    
5       ,SPHER.2025-09-24T01:04:06.698.fits    ,TYC 5709-354-1    ,SCIENCE     ,OBJECT           ,Qplus                  ,64.0000         ,1           ,OPEN               ,FILT_BBF_H      ,N_ALC_YJH_S      ,ELEV               ,USER               ,137.3510            ,66.1110    ,213.0499            ,0.0000               ,37.5725             ,80.2900              ,0.0000              ,0.6200                 ,0.0052           ,P0-90              ,H_NIR              ,2025-09-24T01:04:06.6978    
6       ,SPHER.2025-09-24T01:05:18.684.fits    ,TYC 5709-354-1    ,SCIENCE     ,OBJECT           ,Qminus                 ,64.0000         ,1           ,OPEN               ,FILT_BBF_H      ,N_ALC_YJH_S      ,ELEV               ,USER               ,136.9010            ,65.9080    ,212.9483            ,0.0000               ,82.5950             ,170.2900             ,0.0000              ,0.8100                 ,0.0052           ,P0-90              ,H_NIR              ,2025-09-24T01:05:18.6841    
7       ,SPHER.2025-09-24T01:06:29.602.fits    ,TYC 5709-354-1    ,SCIENCE     ,OBJECT           ,Uplus                  ,64.0000         ,1           ,OPEN               ,FILT_BBF_H      ,N_ALC_YJH_S      ,ELEV               ,USER               ,136.4580            ,65.7070    ,212.8506            ,0.0000               ,60.0350             ,125.2900             ,0.0000              ,1.1600                 ,0.0065           ,P0-90              ,H_NIR              ,2025-09-24T01:06:29.6019    
8       ,SPHER.2025-09-24T01:07:41.683.fits    ,TYC 5709-354-1    ,SCIENCE     ,OBJECT           ,Uminus                 ,64.0000         ,1           ,OPEN               ,FILT_BBF_H      ,N_ALC_YJH_S      ,ELEV               ,USER               ,136.0230            ,65.5000    ,212.7476            ,0.0000               ,105.1225            ,215.2900             ,0.0000              ,0.6700                 ,0.0067           ,P0-90              ,H_NIR              ,2025-09-24T01:07:41.6826    
9       ,SPHER.2025-09-24T01:08:55.687.fits    ,TYC 5709-354-1    ,SCIENCE     ,OBJECT           ,Qplus                  ,64.0000         ,1           ,OPEN               ,FILT_BBF_H      ,N_ALC_YJH_S      ,ELEV               ,USER               ,135.5840            ,65.2870    ,212.6402            ,0.0000               ,37.5425             ,80.2900              ,0.0000              ,0.5500                 ,0.0067           ,P0-90              ,H_NIR              ,2025-09-24T01:08:55.6875    
10      ,SPHER.2025-09-24T01:10:07.690.fits    ,TYC 5709-354-1    ,SCIENCE     ,OBJECT           ,Qminus                 ,64.0000         ,1           ,OPEN               ,FILT_BBF_H      ,N_ALC_YJH_S      ,ELEV               ,USER               ,135.1660            ,65.0780    ,212.5400            ,0.0000               ,82.6300             ,170.2900             ,0.0000              ,0.7400                 ,0.0067           ,P0-90              ,H_NIR              ,2025-09-24T01:10:07.6898    
